rule_number,rule_binary,num_nodes,num_edges,density,is_strongly_connected,max_in_degree,max_out_degree,avg_in_degree,avg_out_degree
169,10101001,2,8,4.0,True,4,4,4.0,4.0
170,10101010,2,8,4.0,True,4,4,4.0,4.0
171,10101011,2,8,4.0,True,5,4,4.0,4.0
172,10101100,2,8,4.0,True,4,4,4.0,4.0
173,10101101,2,8,4.0,True,5,4,4.0,4.0
174,10101110,2,8,4.0,True,5,4,4.0,4.0
175,10101111,2,8,4.0,True,6,4,4.0,4.0
176,10110000,2,8,4.0,True,5,4,4.0,4.0
177,10110001,2,8,4.0,True,4,4,4.0,4.0
178,10110010,2,8,4.0,True,4,4,4.0,4.0
179,10110011,2,8,4.0,True,5,4,4.0,4.0
180,10110100,2,8,4.0,True,4,4,4.0,4.0
181,10110101,2,8,4.0,True,5,4,4.0,4.0
182,10110110,2,8,4.0,True,5,4,4.0,4.0
183,10110111,2,8,4.0,True,6,4,4.0,4.0
184,10111000,2,8,4.0,True,4,4,4.0,4.0
185,10111001,2,8,4.0,True,5,4,4.0,4.0
186,10111010,2,8,4.0,True,5,4,4.0,4.0
187,10111011,2,8,4.0,True,6,4,4.0,4.0
188,10111100,2,8,4.0,True,5,4,4.0,4.0
189,10111101,2,8,4.0,True,6,4,4.0,4.0
190,10111110,2,8,4.0,True,6,4,4.0,4.0
191,10111111,2,8,4.0,True,7,4,4.0,4.0
192,11000000,2,8,4.0,False,6,4,4.0,4.0
193,11000001,2,8,4.0,True,5,4,4.0,4.0
194,11000010,2,8,4.0,True,5,4,4.0,4.0
195,11000011,2,8,4.0,True,4,4,4.0,4.0
196,11000100,2,8,4.0,False,5,4,4.0,4.0
197,11000101,2,8,4.0,True,4,4,4.0,4.0
198,11000110,2,8,4.0,True,4,4,4.0,4.0
199,11000111,2,8,4.0,True,5,4,4.0,4.0
200,11001000,2,8,4.0,False,5,4,4.0,4.0
201,11001001,2,8,4.0,True,4,4,4.0,4.0
202,11001010,2,8,4.0,True,4,4,4.0,4.0
203,11001011,2,8,4.0,True,5,4,4.0,4.0
204,11001100,2,8,4.0,False,4,4,4.0,4.0
205,11001101,2,8,4.0,False,5,4,4.0,4.0
206,11001110,2,8,4.0,False,5,4,4.0,4.0
207,11001111,2,8,4.0,False,6,4,4.0,4.0
208,11010000,2,8,4.0,True,5,4,4.0,4.0
209,11010001,2,8,4.0,True,4,4,4.0,4.0
210,11010010,2,8,4.0,True,4,4,4.0,4.0
211,11010011,2,8,4.0,True,5,4,4.0,4.0
212,11010100,2,8,4.0,True,4,4,4.0,4.0
